Link,Point Order,Sub Polygon Id,Usa2163 Id,Distance,Latitude,Longitude,New Latitude,New Longitude,Number of Records,Origin Latitude,Origin Longitude
link,3097,165,5,447.816576229,38.9963,-76.1679,38.9963,-76.1679,1,39,-84.51
link,3098,165,5,448.682889526,39.0091,-76.151,39.0091,-76.151,1,39,-84.51
link,3099,165,5,448.836818817,39.0295,-76.147,39.0295,-76.147,1,39,-84.51
link,3100,165,5,448.401216786,39.0337,-76.1549,39.0337,-76.1549,1,39,-84.51
link,3101,165,5,448.062752669,39.0397,-76.1609,39.0397,-76.1609,1,39,-84.51
link,3102,165,5,447.811045503,39.0475,-76.1652,39.0475,-76.1652,1,39,-84.51
link,3103,165,5,447.631476015,39.0567,-76.1681,39.0567,-76.1681,1,39,-84.51
link,3104,165,5,448.882812564,39.0601,-76.1446,39.0601,-76.1446,1,39,-84.51
link,3105,165,5,449.476232744,39.0629,-76.1334,39.0629,-76.1334,1,39,-84.51
link,3106,165,5,449.057024142,39.0698,-76.1409,39.0698,-76.1409,1,39,-84.51
link,3107,165,5,450.033492577,39.0925,-76.1217,39.0925,-76.1217,1,39,-84.51
link,3108,165,5,452.345361614,39.1284,-76.0772,39.1284,-76.0772,1,39,-84.51
link,3109,165,5,452.962390584,39.1461,-76.0651,39.1461,-76.0651,1,39,-84.51
link,3110,165,5,451.758898993,39.1387,-76.0878,39.1387,-76.0878,1,39,-84.51
link,3111,165,5,450.646076421,39.1259,-76.109,39.1259,-76.109,1,39,-84.51
link,3112,165,5,449.509378364,39.1178,-76.1305,39.1178,-76.1305,1,39,-84.51
link,3113,165,5,448.216136014,39.1244,-76.1544,39.1244,-76.1544,1,39,-84.51
link,3114,165,5,448.926036151,39.1318,-76.1409,39.1318,-76.1409,1,39,-84.51
link,3115,165,5,448.913973400,39.1387,-76.1409,39.1387,-76.1409,1,39,-84.51
link,3116,165,5,447.107477264,39.1241,-76.1751,39.1241,-76.1751,1,39,-84.51
link,3117,165,5,446.631463878,39.0942,-76.1851,39.0942,-76.1851,1,39,-84.51
